_id,industry_major_cate,std_year_month,std_year,std_month,consumption_amount,region
65e932a1bb908e26c804497d,운송업,202005,2020,5,81259,강원
65e932a1bb908e26c804497e,여행업,202005,2020,5,129128,강원
65e932a1bb908e26c804497f,숙박업,202005,2020,5,11017529,강원
65e932a1bb908e26c8044980,여행업,202004,2020,4,63636,강원
65e932a1bb908e26c8044981,식음료업,202004,2020,4,41376866,강원
65e932a1bb908e26c8044982,전체,202012,2020,12,503831204,경기
65e932a1bb908e26c8044983,전체,202001,2020,1,673146482,경기
65e932a1bb908e26c8044984,전체,202002,2020,2,537474075,경기
65e932a1bb908e26c8044985,전체,202003,2020,3,568846077,경기
65e932a1bb908e26c8044986,전체,202004,2020,4,661589681,경기
65e932a1bb908e26c8044987,전체,202005,2020,5,781620368,경기
65e932a1bb908e26c8044988,전체,202006,2020,6,696819076,경기
65e932a1bb908e26c8044989,전체,202007,2020,7,716055614,경기
65e932a1bb908e26c804498a,전체,202008,2020,8,652810355,경기
65e932a1bb908e26c804498b,전체,202009,2020,9,627342442,경기
65e932a1bb908e26c804498c,전체,202010,2020,10,766434710,경기
65e932a1bb908e26c804498d,전체,202011,2020,11,678074607,경기
65e932a1bb908e26c804498e,운송업,202010,2020,10,8512522,경기
65e932a1bb908e26c804498f,운송업,202008,2020,8,8234620,경기
65e932a1bb908e26c8044990,여행업,202010,2020,10,110181,경기
65e932a1bb908e26c8044991,숙박업,202010,2020,10,13461725,경기
65e932a1bb908e26c8044992,식음료업,202009,2020,9,289376367,경기
65e932a1bb908e26c8044993,여가서비스업,202009,2020,9,66386840,경기
65e932a1bb908e26c8044994,쇼핑업,202009,2020,9,253380166,경기
65e932a1bb908e26c8044995,운송업,202009,2020,9,7116466,경기
65e932a1bb908e26c8044996,여행업,202009,2020,9,123111,경기
65e932a1bb908e26c8044997,숙박업,202009,2020,9,10959492,경기
65e932a1bb908e26c8044998,여행업,202008,2020,8,106854,경기
65e932a1bb908e26c8044999,식음료업,202008,2020,8,340753491,경기
65e932a1bb908e26c804499a,여가서비스업,202008,2020,8,61886841,경기
65e932a1bb908e26c804499b,쇼핑업,202008,2020,8,227212467,경기
65e932a1bb908e26c804499c,숙박업,202008,2020,8,14616082,경기
65e932a1bb908e26c804499d,쇼핑업,202010,2020,10,303153347,경기
65e932a1bb908e26c804499e,여가서비스업,202010,2020,10,83104581,경기
65e932a1bb908e26c804499f,식음료업,202010,2020,10,358092354,경기
65e932a1bb908e26c80449a0,숙박업,202011,2020,11,12754683,경기
65e932a1bb908e26c80449a1,여행업,202011,2020,11,97868,경기
65e932a1bb908e26c80449a2,운송업,202011,2020,11,8128942,경기
65e932a1bb908e26c80449a3,쇼핑업,202011,2020,11,276821682,경기
65e932a1bb908e26c80449a4,여가서비스업,202011,2020,11,65343216,경기
65e932a1bb908e26c80449a5,식음료업,202011,2020,11,314928216,경기
65e932a1bb908e26c80449a6,숙박업,202012,2020,12,10527016,경기
65e932a1bb908e26c80449a7,여행업,202012,2020,12,97779,경기
65e932a1bb908e26c80449a8,운송업,202012,2020,12,6800343,경기
65e932a1bb908e26c80449a9,쇼핑업,202012,2020,12,232111971,경기
65e932a1bb908e26c80449aa,여가서비스업,202012,2020,12,26217401,경기
65e932a1bb908e26c80449ab,식음료업,202012,2020,12,228076695,경기
65e932a1bb908e26c80449ac,여가서비스업,202002,2020,2,31654730,경기
65e932a1bb908e26c80449ad,운송업,202004,2020,4,6662243,경기
65e932a1bb908e26c80449ae,여행업,202004,2020,4,131086,경기
65e932a1bb908e26c80449af,숙박업,202004,2020,4,11064935,경기
65e932a1bb908e26c80449b0,식음료업,202003,2020,3,298685517,경기
65e932a1bb908e26c80449b1,여가서비스업,202003,2020,3,51226573,경기
65e932a1bb908e26c80449b2,쇼핑업,202003,2020,3,201680567,경기
65e932a1bb908e26c80449b3,운송업,202003,2020,3,6369189,경기
65e932a1bb908e26c80449b4,여행업,202003,2020,3,153344,경기
65e932a1bb908e26c80449b5,숙박업,202003,2020,3,10730886,경기
65e932a1bb908e26c80449b6,식음료업,202002,2020,2,298681564,경기
65e932a1bb908e26c80449b7,쇼핑업,202004,2020,4,240526546,경기
65e932a1bb908e26c80449b8,쇼핑업,202002,2020,2,184985558,경기
65e932a1bb908e26c80449b9,운송업,202002,2020,2,10043995,경기
65e932a1bb908e26c80449ba,여행업,202002,2020,2,131563,경기
65e932a1bb908e26c80449bb,숙박업,202002,2020,2,11976665,경기
65e932a1bb908e26c80449bc,식음료업,202001,2020,1,357354414,경기
65e932a1bb908e26c80449bd,여가서비스업,202001,2020,1,34535468,경기
65e932a1bb908e26c80449be,쇼핑업,202001,2020,1,253096705,경기
65e932a1bb908e26c80449bf,운송업,202001,2020,1,13835688,경기
65e932a1bb908e26c80449c0,여행업,202001,2020,1,203884,경기
65e932a1bb908e26c80449c1,여행업,202006,2020,6,104288,경기
65e932a1bb908e26c80449c2,식음료업,202007,2020,7,383792360,경기
65e932a1bb908e26c80449c3,여가서비스업,202007,2020,7,72268813,경기
65e932a1bb908e26c80449c4,쇼핑업,202007,2020,7,237852191,경기
65e932a1bb908e26c80449c5,운송업,202007,2020,7,8308248,경기
65e932a1bb908e26c80449c6,여행업,202007,2020,7,100542,경기
65e932a1bb908e26c80449c7,숙박업,202007,2020,7,13733460,경기
65e932a1bb908e26c80449c8,식음료업,202006,2020,6,352620936,경기
65e932a1bb908e26c80449c9,여가서비스업,202006,2020,6,75366582,경기
65e932a1bb908e26c80449ca,쇼핑업,202006,2020,6,248164505,경기
65e932a1bb908e26c80449cb,운송업,202006,2020,6,8027298,경기
65e932a1bb908e26c80449cc,숙박업,202001,2020,1,14120323,경기
65e932a1bb908e26c80449cd,숙박업,202006,2020,6,12535467,경기
65e932a1bb908e26c80449ce,식음료업,202005,2020,5,387907917,경기
65e932a1bb908e26c80449cf,여가서비스업,202005,2020,5,76340001,경기
65e932a1bb908e26c80449d0,쇼핑업,202005,2020,5,296097846,경기
65e932a1bb908e26c80449d1,운송업,202005,2020,5,8137294,경기
65e932a1bb908e26c80449d2,여행업,202005,2020,5,109264,경기
65e932a1bb908e26c80449d3,숙박업,202005,2020,5,13028046,경기
65e932a1bb908e26c80449d4,식음료업,202004,2020,4,337139214,경기
65e932a1bb908e26c80449d5,여가서비스업,202004,2020,4,66065656,경기
65e932a1bb908e26c80449d6,전체,202012,2020,12,84843601,경남
65e932a1bb908e26c80449d7,전체,202001,2020,1,115831757,경남
65e932a1bb908e26c80449d8,전체,202002,2020,2,90714531,경남
65e932a1bb908e26c80449d9,전체,202003,2020,3,86457992,경남
65e932a1bb908e26c80449da,전체,202004,2020,4,103893054,경남
65e932a1bb908e26c80449db,전체,202005,2020,5,137435325,경남
65e932a1bb908e26c80449dc,전체,202006,2020,6,118756601,경남
65e932a1bb908e26c80449dd,전체,202007,2020,7,120362289,경남
65e932a1bb908e26c80449de,전체,202008,2020,8,132879299,경남
65e932a1bb908e26c80449df,전체,202009,2020,9,106903560,경남
65e932a1bb908e26c80449e0,전체,202010,2020,10,129399340,경남
65e932a1bb908e26c80449e1,전체,202011,2020,11,112471268,경남
65e932a1bb908e26c80449e2,쇼핑업,202010,2020,10,36511886,경남
65e932a1bb908e26c80449e3,운송업,202008,2020,8,220973,경남
