_id,region,std_year_month,std_year,std_month,tour_trend,num_mention
65e92ddfbb908e26c804398c,경기,202002,2020,2,휴식/힐링,33595
65e92ddfbb908e26c804398d,경기,202001,2020,1,휴식/힐링,33283
65e92ddfbb908e26c804398e,경기,202003,2020,3,레포츠,33034
65e92ddfbb908e26c804398f,경기,202012,2020,12,휴식/힐링,31794
65e92ddfbb908e26c8043990,경기,202002,2020,2,레포츠,29794
65e92ddfbb908e26c8043991,경기,202005,2020,5,기타,24589
65e92ddfbb908e26c8043992,경기,202003,2020,3,기타,18516
65e92ddfbb908e26c8043993,경기,202010,2020,10,기타,18231
65e92ddfbb908e26c8043994,경기,202006,2020,6,기타,17853
65e92ddfbb908e26c8043995,경기,202004,2020,4,기타,17240
65e92ddfbb908e26c8043996,경기,202002,2020,2,기타,16642
65e92ddfbb908e26c8043997,경기,202007,2020,7,기타,15380
65e92ddfbb908e26c8043998,경기,202001,2020,1,기타,15038
65e92ddfbb908e26c8043999,경기,202008,2020,8,기타,14220
65e92ddfbb908e26c804399a,경기,202011,2020,11,기타,14010
65e92ddfbb908e26c804399b,경기,202009,2020,9,기타,13267
65e92ddfbb908e26c804399c,경기,202012,2020,12,기타,9565
65e92ddfbb908e26c804399d,경기,202005,2020,5,미식,6405
65e92ddfbb908e26c804399e,경기,202006,2020,6,미식,6217
65e92ddfbb908e26c804399f,경기,202004,2020,4,미식,6105
65e92ddfbb908e26c80439a0,경기,202007,2020,7,미식,5674
65e92ddfbb908e26c80439a1,경기,202010,2020,10,체험,5542
65e92ddfbb908e26c80439a2,경기,202011,2020,11,미식,5523
65e92ddfbb908e26c80439a3,경기,202008,2020,8,미식,5370
65e92ddfbb908e26c80439a4,경기,202003,2020,3,미식,5339
65e92ddfbb908e26c80439a5,경기,202010,2020,10,미식,5211
65e92ddfbb908e26c80439a6,경기,202009,2020,9,미식,4713
65e92ddfbb908e26c80439a7,경기,202007,2020,7,체험,4623
65e92ddfbb908e26c80439a8,경기,202002,2020,2,미식,4573
65e92ddfbb908e26c80439a9,경기,202001,2020,1,체험,4246
65e92ddfbb908e26c80439aa,경기,202006,2020,6,체험,4243
65e92ddfbb908e26c80439ab,경기,202001,2020,1,미식,4084
65e92ddfbb908e26c80439ac,경기,202012,2020,12,미식,3949
65e92ddfbb908e26c80439ad,경기,202011,2020,11,체험,3821
65e92ddfbb908e26c80439ae,경기,202005,2020,5,체험,3698
65e92ddfbb908e26c80439af,경기,202008,2020,8,체험,3272
65e92ddfbb908e26c80439b0,경기,202009,2020,9,체험,3185
65e92ddfbb908e26c80439b1,경기,202002,2020,2,체험,3058
65e92ddfbb908e26c80439b2,경기,202004,2020,4,체험,3021
65e92ddfbb908e26c80439b3,경기,202003,2020,3,체험,2962
65e92ddfbb908e26c80439b4,경기,202012,2020,12,체험,2504
65e92ddfbb908e26c80439b5,경남,202010,2020,10,레포츠,26616
65e92ddfbb908e26c80439b6,경남,202006,2020,6,레포츠,24736
65e92ddfbb908e26c80439b7,경남,202007,2020,7,레포츠,22714
65e92ddfbb908e26c80439b8,경남,202011,2020,11,레포츠,22531
65e92ddfbb908e26c80439b9,경남,202005,2020,5,레포츠,20086
65e92ddfbb908e26c80439ba,경남,202004,2020,4,휴식/힐링,20080
65e92ddfbb908e26c80439bb,경남,202008,2020,8,레포츠,20060
65e92ddfbb908e26c80439bc,경남,202010,2020,10,휴식/힐링,19972
65e92ddfbb908e26c80439bd,경남,202009,2020,9,레포츠,19222
65e92ddfbb908e26c80439be,경남,202005,2020,5,휴식/힐링,18436
65e92ddfbb908e26c80439bf,경남,202004,2020,4,레포츠,18243
65e92ddfbb908e26c80439c0,경남,202012,2020,12,레포츠,18201
65e92ddfbb908e26c80439c1,경남,202006,2020,6,휴식/힐링,18099
65e92ddfbb908e26c80439c2,경남,202007,2020,7,휴식/힐링,17809
65e92ddfbb908e26c80439c3,경남,202011,2020,11,휴식/힐링,16872
65e92ddfbb908e26c80439c4,경남,202008,2020,8,휴식/힐링,16160
65e92ddfbb908e26c80439c5,경남,202009,2020,9,휴식/힐링,15556
65e92ddfbb908e26c80439c6,경남,202001,2020,1,레포츠,14587
65e92ddfbb908e26c80439c7,경남,202003,2020,3,레포츠,12268
65e92ddfbb908e26c80439c8,경남,202002,2020,2,레포츠,11643
65e92ddfbb908e26c80439c9,경남,202012,2020,12,휴식/힐링,11581
65e92ddfbb908e26c80439ca,경남,202003,2020,3,휴식/힐링,11124
65e92ddfbb908e26c80439cb,경남,202001,2020,1,휴식/힐링,10256
65e92ddfbb908e26c80439cc,경남,202003,2020,3,기타,9682
65e92ddfbb908e26c80439cd,경남,202002,2020,2,휴식/힐링,9198
65e92ddfbb908e26c80439ce,경남,202004,2020,4,기타,6494
65e92ddfbb908e26c80439cf,경남,202002,2020,2,기타,6383
65e92ddfbb908e26c80439d0,경남,202001,2020,1,기타,6031
65e92ddfbb908e26c80439d1,경남,202007,2020,7,기타,5553
65e92ddfbb908e26c80439d2,경남,202005,2020,5,기타,5507
65e92ddfbb908e26c80439d3,경남,202011,2020,11,기타,5198
65e92ddfbb908e26c80439d4,경남,202008,2020,8,기타,5049
65e92ddfbb908e26c80439d5,경남,202010,2020,10,기타,5036
65e92ddfbb908e26c80439d6,경남,202006,2020,6,기타,4978
65e92ddfbb908e26c80439d7,경남,202009,2020,9,기타,4739
65e92ddfbb908e26c80439d8,경남,202007,2020,7,체험,4278
65e92ddfbb908e26c80439d9,경남,202004,2020,4,체험,4054
65e92ddfbb908e26c80439da,경남,202005,2020,5,체험,3578
65e92ddfbb908e26c80439db,경남,202012,2020,12,기타,3008
65e92ddfbb908e26c80439dc,경남,202010,2020,10,체험,2983
65e92ddfbb908e26c80439dd,경남,202008,2020,8,체험,2898
65e92ddfbb908e26c80439de,경남,202011,2020,11,체험,2609
65e92ddfbb908e26c80439df,경남,202009,2020,9,체험,2405
65e92ddfbb908e26c80439e0,경남,202006,2020,6,체험,2232
65e92ddfbb908e26c80439e1,경남,202001,2020,1,체험,2130
65e92ddfbb908e26c80439e2,경남,202002,2020,2,체험,1793
65e92ddfbb908e26c80439e3,경남,202004,2020,4,미식,1471
65e92ddfbb908e26c80439e4,경남,202008,2020,8,미식,1459
65e92ddfbb908e26c80439e5,경남,202012,2020,12,체험,1419
65e92ddfbb908e26c80439e6,경남,202005,2020,5,미식,1350
65e92ddfbb908e26c80439e7,경남,202007,2020,7,미식,1348
65e92ddfbb908e26c80439e8,경남,202006,2020,6,미식,1332
65e92ddfbb908e26c80439e9,경남,202010,2020,10,미식,1302
65e92ddfbb908e26c80439ea,경남,202011,2020,11,미식,1283
65e92ddfbb908e26c80439eb,경남,202003,2020,3,체험,1227
65e92ddfbb908e26c80439ec,경남,202009,2020,9,미식,1160
65e92ddfbb908e26c80439ed,경남,202001,2020,1,미식,1036
65e92ddfbb908e26c80439ee,경남,202003,2020,3,미식,953
65e92ddfbb908e26c80439ef,경남,202012,2020,12,미식,894
65e92ddfbb908e26c80439f0,경남,202002,2020,2,미식,870
65e92ddfbb908e26c80439f1,경북,202010,2020,10,레포츠,19663
65e92ddfbb908e26c80439f2,경북,202007,2020,7,레포츠,18965
65e92ddfbb908e26c80439f3,경북,202008,2020,8,레포츠,18648
65e92ddfbb908e26c80439f4,경북,202007,2020,7,휴식/힐링,18021
65e92ddfbb908e26c80439f5,경북,202008,2020,8,휴식/힐링,17836
65e92ddfbb908e26c80439f6,경북,202011,2020,11,휴식/힐링,17429
65e92ddfbb908e26c80439f7,경북,202010,2020,10,휴식/힐링,16766
65e92ddfbb908e26c80439f8,경북,202006,2020,6,레포츠,16588
65e92ddfbb908e26c80439f9,경북,202011,2020,11,레포츠,15651
65e92ddfbb908e26c80439fa,경북,202006,2020,6,휴식/힐링,15344
65e92ddfbb908e26c80439fb,경북,202005,2020,5,휴식/힐링,14780
65e92ddfbb908e26c80439fc,경북,202012,2020,12,레포츠,14037
65e92ddfbb908e26c80439fd,경북,202005,2020,5,레포츠,13304
65e92ddfbb908e26c80439fe,경북,202009,2020,9,레포츠,13103
65e92ddfbb908e26c80439ff,경북,202004,2020,4,휴식/힐링,12468
65e92ddfbb908e26c8043a00,경북,202009,2020,9,휴식/힐링,12183
65e92ddfbb908e26c8043a01,경북,202001,2020,1,휴식/힐링,12108
65e92ddfbb908e26c8043a02,경북,202012,2020,12,휴식/힐링,11577
65e92ddfbb908e26c8043a03,경북,202003,2020,3,휴식/힐링,10446
65e92ddfbb908e26c8043a04,경북,202004,2020,4,레포츠,9646
65e92ddfbb908e26c8043a05,경북,202001,2020,1,레포츠,9237
65e92ddfbb908e26c8043a06,경북,202003,2020,3,레포츠,8490
65e92ddfbb908e26c8043a07,경북,202002,2020,2,휴식/힐링,8299
65e92ddfbb908e26c8043a08,경북,202002,2020,2,레포츠,7131
65e92ddfbb908e26c8043a09,경북,202002,2020,2,기타,5464
65e92ddfbb908e26c8043a0a,경북,202007,2020,7,기타,5394
65e92ddfbb908e26c8043a0b,경북,202010,2020,10,기타,5250
65e92ddfbb908e26c8043a0c,경북,202008,2020,8,기타,5113
65e92ddfbb908e26c8043a0d,경북,202011,2020,11,기타,4808
65e92ddfbb908e26c8043a0e,경북,202007,2020,7,체험,4447
65e92ddfbb908e26c8043a0f,경북,202006,2020,6,기타,4343
65e92ddfbb908e26c8043a10,경북,202005,2020,5,기타,4221
65e92ddfbb908e26c8043a11,경북,202001,2020,1,기타,4083
65e92ddfbb908e26c8043a12,경북,202001,2020,1,체험,4073
65e92ddfbb908e26c8043a13,경북,202009,2020,9,기타,3885
65e92ddfbb908e26c8043a14,경북,202008,2020,8,체험,3825
65e92ddfbb908e26c8043a15,경북,202003,2020,3,기타,3824
65e92ddfbb908e26c8043a16,경북,202004,2020,4,기타,3587
65e92ddfbb908e26c8043a17,경북,202006,2020,6,체험,3405
65e92ddfbb908e26c8043a18,경북,202012,2020,12,기타,3115
