_id,std_year,region,consumption_amount,industry_major_cate,industry_middle_cate
65e912c3bb908e26c803df2b,2020,부산,109522,운송업,육상운송
65e912c3bb908e26c803df2c,2020,부산,20165342.502,운송업,항공운송
65e912c3bb908e26c803df2d,2020,서울,18629838.561,쇼핑업,면세점
65e912c3bb908e26c803df2e,2020,서울,9696355.317,쇼핑업,관광기념품
65e912c3bb908e26c803df2f,2020,서울,454495963.09,쇼핑업,레저용품쇼핑
65e912c3bb908e26c803df30,2020,서울,2430789731.873,쇼핑업,대형쇼핑몰
65e912c3bb908e26c803df31,2020,서울,194811051.89,숙박업,호텔
65e912c3bb908e26c803df32,2020,서울,101813824.083,숙박업,기타숙박
65e912c3bb908e26c803df33,2020,서울,1033354.339,숙박업,콘도
65e912c3bb908e26c803df34,2020,서울,107501.105,숙박업,캠핑장/펜션
65e912c3bb908e26c803df35,2020,서울,5448564142.465,식음료업,식음료
65e912c3bb908e26c803df36,2020,서울,16722265.382,여가서비스업,관광유원시설
65e912c3bb908e26c803df37,2020,서울,98429926.289,여가서비스업,골프장
65e912c3bb908e26c803df38,2020,서울,59002245.624,여가서비스업,기타레저
65e912c3bb908e26c803df39,2020,서울,75899401.139,여가서비스업,문화서비스
65e912c3bb908e26c803df3a,2020,서울,1522844.053,여가서비스업,스키장
65e912c3bb908e26c803df3b,2020,서울,29937832.396,여행업,여행업
65e912c3bb908e26c803df3c,2020,서울,141193674.601,운송업,항공운송
65e912c3bb908e26c803df3d,2020,서울,10151196.075,운송업,렌터카
65e912c3bb908e26c803df3e,2020,서울,169066684.882,운송업,육상운송
65e912c3bb908e26c803df3f,2020,서울,33815187.761,운송업,수상운송
65e912c3bb908e26c803df40,2020,세종,35664.11,쇼핑업,관광기념품
65e912c3bb908e26c803df41,2020,세종,4864509.797,쇼핑업,레저용품쇼핑
65e912c3bb908e26c803df42,2020,세종,12989119.34,쇼핑업,대형쇼핑몰
65e912c3bb908e26c803df43,2020,세종,1223426.052,숙박업,기타숙박
65e912c3bb908e26c803df44,2020,세종,1385,숙박업,캠핑장/펜션
65e912c3bb908e26c803df45,2020,세종,58848058.987,식음료업,식음료
65e912c3bb908e26c803df46,2020,세종,41490.33,여가서비스업,관광유원시설
65e912c3bb908e26c803df47,2020,세종,8560230.524,여가서비스업,골프장
65e912c3bb908e26c803df48,2020,세종,656603.454,여가서비스업,기타레저
65e912c3bb908e26c803df49,2020,세종,775622.396,여가서비스업,문화서비스
65e912c3bb908e26c803df4a,2020,세종,16924,여행업,여행업
65e912c3bb908e26c803df4b,2020,세종,28070.12,운송업,육상운송
65e912c3bb908e26c803df4c,2020,세종,5393,운송업,렌터카
65e912c3bb908e26c803df4d,2020,울산,15450.4,쇼핑업,면세점
65e912c3bb908e26c803df4e,2020,울산,545066.3,쇼핑업,관광기념품
65e912c3bb908e26c803df4f,2020,울산,34456294.991,쇼핑업,레저용품쇼핑
65e912c3bb908e26c803df50,2020,울산,110712958.196,쇼핑업,대형쇼핑몰
65e912c3bb908e26c803df51,2020,울산,11907467.874,숙박업,기타숙박
65e912c3bb908e26c803df52,2020,울산,3807496.558,숙박업,호텔
65e912c3bb908e26c803df53,2020,울산,5901.9,숙박업,콘도
65e912c3bb908e26c803df54,2020,울산,65855.91,숙박업,캠핑장/펜션
65e912c3bb908e26c803df55,2020,울산,296020203,식음료업,식음료
65e912c3bb908e26c803df56,2020,울산,235382.61,여가서비스업,관광유원시설
65e912c3bb908e26c803df57,2020,울산,22475528.84,여가서비스업,골프장
65e912c3bb908e26c803df58,2020,울산,5120774.187,여가서비스업,기타레저
65e912c3bb908e26c803df59,2020,울산,2238408.208,여가서비스업,문화서비스
65e912c3bb908e26c803df5a,2020,울산,97274.5,여행업,여행업
65e912c3bb908e26c803df5b,2020,울산,53485.7,운송업,육상운송
65e912c3bb908e26c803df5c,2020,울산,311665.937,운송업,렌터카
65e912c3bb908e26c803df5d,2020,울산,68970.5,운송업,항공운송
65e912c3bb908e26c803df5e,2020,울산,3880,운송업,수상운송
65e912c3bb908e26c803df5f,2020,인천,53898095.989,쇼핑업,면세점
65e912c3bb908e26c803df60,2020,인천,1229899.407,쇼핑업,관광기념품
65e912c3bb908e26c803df61,2020,인천,109022534.075,쇼핑업,레저용품쇼핑
65e912c3bb908e26c803df62,2020,인천,374526795.042,쇼핑업,대형쇼핑몰
65e912c3bb908e26c803df63,2020,인천,18223917.507,숙박업,호텔
65e912c3bb908e26c803df64,2020,인천,453305.46,숙박업,캠핑장/펜션
65e912c3bb908e26c803df65,2020,인천,30742787.235,숙박업,기타숙박
65e912c3bb908e26c803df66,2020,인천,227829.28,숙박업,콘도
65e912c3bb908e26c803df67,2020,인천,813773060.836,식음료업,식음료
65e912c3bb908e26c803df68,2020,인천,2176698.136,여가서비스업,관광유원시설
65e912c3bb908e26c803df69,2020,인천,58622198.491,여가서비스업,골프장
65e912c3bb908e26c803df6a,2020,인천,10435832.455,여가서비스업,기타레저
65e912c3bb908e26c803df6b,2020,인천,8832289.239,여가서비스업,문화서비스
65e912c3bb908e26c803df6c,2020,인천,0,여가서비스업,카지노
65e912c3bb908e26c803df6d,2020,인천,417640.86,여행업,여행업
65e912c3bb908e26c803df6e,2020,인천,5286566.835,운송업,수상운송
65e912c3bb908e26c803df6f,2020,인천,7247789.606,운송업,항공운송
65e912c3bb908e26c803df70,2020,인천,668515.941,운송업,렌터카
65e912c3bb908e26c803df71,2020,인천,175993.58,운송업,육상운송
65e912c3bb908e26c803df72,2020,전남,1086849.969,쇼핑업,관광기념품
65e912c3bb908e26c803df73,2020,전남,71301731.975,쇼핑업,레저용품쇼핑
65e912c3bb908e26c803df74,2020,전남,97312844.869,쇼핑업,대형쇼핑몰
65e912c3bb908e26c803df75,2020,전남,97409.48,쇼핑업,면세점
65e912c3bb908e26c803df76,2020,전남,3562324.955,숙박업,호텔
65e912c3bb908e26c803df77,2020,전남,39994341.11,숙박업,기타숙박
65e912c3bb908e26c803df78,2020,전남,8578710.754,숙박업,콘도
65e912c3bb908e26c803df79,2020,전남,594647.925,숙박업,캠핑장/펜션
65e912c3bb908e26c803df7a,2020,전남,459939199.914,식음료업,식음료
65e912c3bb908e26c803df7b,2020,전남,13157333.754,여가서비스업,관광유원시설
65e912c3bb908e26c803df7c,2020,전남,89495314.949,여가서비스업,골프장
65e912c3bb908e26c803df7d,2020,전남,6218955.345,여가서비스업,기타레저
65e912c3bb908e26c803df7e,2020,전남,5256028.083,여가서비스업,문화서비스
65e912c3bb908e26c803df7f,2020,전남,459778.801,여행업,여행업
65e912c3bb908e26c803df80,2020,전남,838046.95,운송업,수상운송
65e912c3bb908e26c803df81,2020,전남,475897.405,운송업,렌터카
65e912c3bb908e26c803df82,2020,전남,93997.7,운송업,항공운송
65e912c3bb908e26c803df83,2020,전남,236535.346,운송업,육상운송
65e912c3bb908e26c803df84,2020,전북,1593641.766,쇼핑업,관광기념품
65e912c3bb908e26c803df85,2020,전북,87707850.125,쇼핑업,레저용품쇼핑
65e912c3bb908e26c803df86,2020,전북,112849796.277,쇼핑업,대형쇼핑몰
65e912c3bb908e26c803df87,2020,전북,0,쇼핑업,면세점
65e912c3bb908e26c803df88,2020,전북,693074.11,숙박업,호텔
65e912c3bb908e26c803df89,2020,전북,22316780.874,숙박업,기타숙박
65e912c3bb908e26c803df8a,2020,전북,8500704.698,숙박업,콘도
65e912c3bb908e26c803df8b,2020,전북,245077.229,숙박업,캠핑장/펜션
65e912c3bb908e26c803df8c,2020,전북,418726252.97,식음료업,식음료
65e912c3bb908e26c803df8d,2020,전북,1051200.719,여가서비스업,관광유원시설
65e912c3bb908e26c803df8e,2020,전북,54489854.598,여가서비스업,골프장
65e912c3bb908e26c803df8f,2020,전북,5284431.253,여가서비스업,기타레저
65e912c3bb908e26c803df90,2020,전북,4551254.966,여가서비스업,문화서비스
65e912c3bb908e26c803df91,2020,전북,84804.04,여행업,여행업
65e912c3bb908e26c803df92,2020,전북,256316.15,운송업,렌터카
65e912c3bb908e26c803df93,2020,전북,4489.08,운송업,수상운송
65e912c3bb908e26c803df94,2020,전북,3283759,운송업,항공운송
65e912c3bb908e26c803df95,2020,전북,36699.691,운송업,육상운송
65e912c3bb908e26c803df96,2020,제주,150961572.171,쇼핑업,면세점
65e912c3bb908e26c803df97,2020,제주,13635831.4,쇼핑업,관광기념품
65e912c3bb908e26c803df98,2020,제주,48477659.5,쇼핑업,레저용품쇼핑
65e912c3bb908e26c803df99,2020,제주,26306429.368,쇼핑업,대형쇼핑몰
65e912c3bb908e26c803df9a,2020,제주,37124174.025,숙박업,호텔
65e912c3bb908e26c803df9b,2020,제주,29984638.354,숙박업,콘도
